#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.base.inference.CompoundDistribution">
#    <distribution id="prior" spec="beast.base.inference.CompoundDistribution">
#        <distribution id="CalibratedYuleModel.t:tree" spec="beast.base.evolution.speciation.CalibratedYuleModel">
#            <parameter id="birthRateY.t:tree" lower="0.0" name="birthRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:tree" spec="beast.base.evolution.tree.Tree">
#                <taxonset id="TaxonSet.new_core_region" spec="beast.base.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="CalibratedYuleBirthRatePrior.t:tree" name="distribution" x="@birthRateY.t:tree">
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.4" name="alpha" spec="beast.base.inference.parameter.RealParameter">0.001</parameter>
#                <parameter estimate="false" id="RealParameter.5" name="beta" spec="beast.base.inference.parameter.RealParameter">1000.0</parameter>
#            </Gamma>
#        </prior>
#        <prior id="ClockPrior.c:clock" name="distribution">
#            <parameter id="clockRate.c:clock" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <Uniform id="Uniform.0" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="GammaShapePrior.s:HKY" name="distribution">
#            <parameter id="gammaShape.s:HKY" lower="0.1" name="x" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="mean" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="KappaPrior.s:HKY" name="distribution">
#            <parameter id="kappa.s:HKY" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">2.0</parameter>
#            <Normal id="Normal.0" name="distr">
#                <parameter estimate="false" id="RealParameter.6" name="mean" spec="beast.base.inference.parameter.RealParameter">6.0</parameter>
#                <parameter estimate="false" id="RealParameter.7" name="sigma" spec="beast.base.inference.parameter.RealParameter">0.5</parameter>
#            </Normal>
#        </prior>
#        <distribution id="cyn-ava.prior" monophyletic="true" spec="beast.base.evolution.tree.MRCAPrior" tree="@Tree.t:tree">
#            <taxonset id="cyn-ava" spec="beast.base.evolution.alignment.TaxonSet">
#                <taxon id="Cynocephalus_volans" spec="beast.base.evolution.alignment.Taxon"/>
#                <taxon id="Avahi_laniger" spec="beast.base.evolution.alignment.Taxon"/>
#            </taxonset>
#            <Normal id="Normal.1" name="distr">
#                <parameter estimate="false" id="RealParameter.8" name="mean" spec="beast.base.inference.parameter.RealParameter">6.0</parameter>
#                <parameter estimate="false" id="RealParameter.9" name="sigma" spec="beast.base.inference.parameter.RealParameter">0.5</parameter>
#            </Normal>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.base.inference.CompoundDistribution" useThreads="true">
#        <distribution data="@new_core_region" id="treeLikelihood.new_core_region" spec="beast.base.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:tree">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:HKY" shape="@gammaShape.s:HKY" spec="beast.base.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:HKY" lower="0.0" name="mutationRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:HKY" lower="0.0" name="proportionInvariant" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="hky.s:HKY" kappa="@kappa.s:HKY" spec="beast.base.evolution.substitutionmodel.HKY">
#                    <frequencies data="@new_core_region" id="empiricalFreqs.s:HKY" spec="beast.base.evolution.substitutionmodel.Frequencies"/>
#                </substModel>
#            </siteModel>
#            <branchRateModel clock.rate="@clockRate.c:clock" id="StrictClock.c:clock" spec="beast.base.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood.new_core_region	Tree.height	Tree.treeLength	mutationRate	gammaShape	kappa	CalibratedYuleModel	birthRateY	logP(mrca(cyn-ava))	mrca.age(cyn-ava)	clockRate
0	-553258.9551229575	-553137.058357206	-121.89676575143534	-553137.058357206	3.465026377828492	11.713063286210726	1.0	1.0	2.0	-11.46904111876681	1.0	-70.28684663936096	0.08134072248130625	1.0
200	-506364.9974096184	-506279.3425782569	-85.65483136151045	-506279.3425782569	2.437875906981409	12.989089984135655	1.0	1.3484983011400766	2.643180777756746	16.79172754458451	3.4729669525183953	-70.17447481413592	0.08608913402090695	2.394770177730925
400	-477636.6702624696	-477596.0766642069	-40.59359826270273	-477596.0766642069	0.8175383676202319	7.813598688244228	1.0	0.9371705254854767	5.032334336450663	42.062353024645134	6.641633394755626	-70.80804289383866	0.05936655140237051	1.6374758496994526
600	-448897.5775373581	-448862.3068332415	-35.270704116621246	-448862.3068332415	0.7289767191464215	6.963877042978252	1.0	0.9371705254854767	5.032334336450663	47.55970225488922	6.641633394755626	-70.98249797800126	0.052029479504940475	2.570006685454957
800	-420891.12117760873	-420842.9234331674	-48.19774444133846	-420842.9234331674	0.5214861700518075	6.592443591686233	1.0	0.2922651245591445	9.024119144598599	50.16283086796717	6.582181605304416	-70.74877493327497	0.06186125201548325	8.824972356199652
1000	-414315.5442602411	-414247.4701378876	-68.07412235352528	-414247.4701378876	0.7330347077863536	9.84064288426696	1.0	0.2922651245591445	9.024119144598599	29.466363422355066	6.582181605304416	-69.9286853998497	0.09648858529074363	5.763480446871877
1200	-406448.815439498	-406389.7425700526	-59.07286944535359	-406389.7425700526	0.6158904304716104	8.436076028111207	1.0	0.2922651245591445	9.024119144598599	38.600451200373044	6.582181605304416	-70.06152026969598	0.09086601450554209	5.763480446871877
1400	-400952.77486179635	-400881.2209278391	-71.55393395726068	-400881.2209278391	1.7036438236893277	10.331047669481404	1.0	0.2922651245591445	9.024119144598599	26.12375466323164	6.582181605304416	-70.06588824446168	0.09068121980981074	5.763480446871877
1600	-389606.75257444335	-389536.5382552781	-70.2143191652834	-389536.5382552781	2.1337560025509856	10.440178897402319	1.0	0.2922651245591445	9.024119144598599	27.215433712966966	4.041367946824765	-70.3077885388567	0.08045621748550796	5.763480446871877
1800	-384073.0063442601	-383995.2132906814	-77.79305357868427	-383995.2132906814	3.384509530152509	12.277333140530507	1.0	0.2922651245591445	9.024119144598599	19.721357353932408	4.265874163396286	-70.338212264202	0.07917147218578657	5.763480446871877
2000	-380209.8620660427	-380108.99403168244	-100.8680343602925	-380108.99403168244	7.233558591366619	19.463650084002268	1.0	0.2922651245591445	9.024119144598599	-3.6502362475459087	2.9142367236837767	-70.42360922348894	0.07556678361363404	5.763480446871877
2200	-376911.30071765516	-376797.05455085996	-114.24616679520538	-376797.05455085996	9.616352045398653	24.015041100029954	1.0	0.2922651245591445	9.024119144598599	-16.94486471879671	2.9142367236837767	-70.50711318715102	0.07204411982906705	5.763480446871877
2400	-374225.07074930635	-374108.76592652773	-116.3048227786019	-374108.76592652773	10.564992868500221	25.910014039185572	1.0	0.2922651245591445	9.024119144598599	-19.190336726746843	2.4769078746631146	-70.48316887810407	0.07305401047641871	3.510206796016633
2600	-370767.27536057873	-370635.3302418037	-131.9451187750243	-370635.3302418037	16.007597528950033	36.51805214572671	1.0	0.2922651245591445	9.024119144598599	-35.314442175859085	1.6461711043053342	-70.40834051235198	0.0762111297030826	3.510206796016633
2800	-366960.51346156927	-366825.9151026999	-134.59835886935446	-366825.9151026999	17.527324852022566	39.79142308191198	1.0	0.2922651245591445	9.024119144598599	-38.51046175609557	1.2905588750696055	-70.1090499493808	0.08885550012791225	3.510206796016633
3000	-363299.90411270066	-363178.91525489587	-120.98885780478902	-363178.91525489587	12.95086260045795	28.391042541431798	1.0	0.2922651245591445	9.024119144598599	-23.95239813337243	1.2905588750696055	-71.05761250753852	0.0488731674205681	6.4816759971209255
3200	-351665.55950645416	-351536.18557222426	-129.3739342298656	-351536.18557222426	16.15902931212958	34.42332712050888	1.0	0.2922651245591445	9.024119144598599	-31.92269908131093	1.61874737074043	-71.24570911227254	0.0409766840686128	6.4816759971209255
