#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.base.inference.CompoundDistribution">
#    <distribution id="prior" spec="beast.base.inference.CompoundDistribution">
#        <distribution id="CalibratedYuleModel.t:tree" spec="beast.base.evolution.speciation.CalibratedYuleModel">
#            <parameter id="birthRateY.t:tree" lower="0.0" name="birthRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:tree" spec="beast.base.evolution.tree.Tree">
#                <taxonset id="TaxonSet.new_core_region" spec="beast.base.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="CalibratedYuleBirthRatePrior.t:tree" name="distribution" x="@birthRateY.t:tree">
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.4" name="alpha" spec="beast.base.inference.parameter.RealParameter">0.001</parameter>
#                <parameter estimate="false" id="RealParameter.5" name="beta" spec="beast.base.inference.parameter.RealParameter">1000.0</parameter>
#            </Gamma>
#        </prior>
#        <prior id="ClockPrior.c:clock" name="distribution">
#            <parameter id="clockRate.c:clock" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <Uniform id="Uniform.0" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="GammaShapePrior.s:HKY" name="distribution">
#            <parameter id="gammaShape.s:HKY" lower="0.1" name="x" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="mean" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="KappaPrior.s:HKY" name="distribution">
#            <parameter id="kappa.s:HKY" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="M" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="S" spec="beast.base.inference.parameter.RealParameter">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <distribution id="hono-pan.prior" monophyletic="true" spec="beast.base.evolution.tree.MRCAPrior" tree="@Tree.t:tree">
#            <taxonset id="hono-pan" spec="beast.base.evolution.alignment.TaxonSet">
#                <taxon id="Homo_heidelbergensis" spec="beast.base.evolution.alignment.Taxon"/>
#                <taxon id="Homo_sapiens" spec="beast.base.evolution.alignment.Taxon"/>
#                <taxon id="Pan_troglodytes_ellioti" spec="beast.base.evolution.alignment.Taxon"/>
#                <taxon id="Gorilla_gorilla_gorilla" spec="beast.base.evolution.alignment.Taxon"/>
#            </taxonset>
#            <Normal id="Normal.0" name="distr">
#                <parameter estimate="false" id="RealParameter.6" name="mean" spec="beast.base.inference.parameter.RealParameter">6.0</parameter>
#                <parameter estimate="false" id="RealParameter.7" name="sigma" spec="beast.base.inference.parameter.RealParameter">0.5</parameter>
#            </Normal>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.base.inference.CompoundDistribution" useThreads="true">
#        <distribution data="@new_core_region" id="treeLikelihood.new_core_region" spec="beast.base.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:tree">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:HKY" shape="@gammaShape.s:HKY" spec="beast.base.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:HKY" lower="0.0" name="mutationRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:HKY" lower="0.0" name="proportionInvariant" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="hky.s:HKY" kappa="@kappa.s:HKY" spec="beast.base.evolution.substitutionmodel.HKY">
#                    <frequencies data="@new_core_region" id="empiricalFreqs.s:HKY" spec="beast.base.evolution.substitutionmodel.Frequencies"/>
#                </substModel>
#            </siteModel>
#            <branchRateModel clock.rate="@clockRate.c:clock" id="StrictClock.c:clock" spec="beast.base.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood.new_core_region	Tree.height	Tree.treeLength	mutationRate	kappa	gammaShape	CalibratedYuleModel	birthRateY	logP(mrca(hono-pan))	mrca.age(hono-pan)	clockRate
0	-625007.828846692	-624918.4179582698	-89.41088842212642	-624918.4179582698	2.960183889172827	17.135924766711327	1.0	2.0	1.0	-13.387084720996857	1.0	-66.24335702649243	0.2546729564868243	0.559134097488622
200	-511281.89260326925	-511194.6850193381	-87.20758393115872	-511194.6850193381	2.3970544313926556	24.4927731328944	1.0	1.0837556748798207	0.5850885491414488	-11.799904245825248	1.8512731725327463	-65.79828750981915	0.27407229537542954	2.0897245538314912
400	-455900.1221139335	-455799.2706829802	-100.85143095332	-455799.2706829802	2.9669476204249987	30.810626233446236	1.0	3.23240190105264	0.4183638347855329	-27.041190760186566	1.0159903547137437	-64.13601590564383	0.34711469455645627	1.3377914033058327
600	-434590.0545615071	-434469.6589411851	-120.39562032194883	-434469.6589411851	4.420660479502615	53.245883737547835	1.0	10.02565474371831	0.21073306280123194	-50.04104461634179	1.0356039403692239	-59.20145022550466	0.5697302611721058	2.3319502856254326
800	-417899.7823822342	-417782.6494383721	-117.13294386206397	-417782.6494383721	4.475642064555674	49.3687349290522	1.0	13.938340336857635	0.2655283364535554	-46.1061389969466	0.9290690657320153	-59.28797518800975	0.5657482651534705	0.9175981366462175
1000	-401310.0155634843	-401169.9987361986	-140.01682728567997	-401169.9987361986	7.444395760383006	102.75861911304948	1.0	13.938340336857635	0.2655283364535554	-82.0179373878465	0.5112113504179048	-46.857280652390905	1.1713620295291252	0.4219126389810068
1200	-389427.29941275023	-389257.1129666723	-170.1864460779662	-389257.1129666723	23.908515041217974	345.2520998473997	1.0	8.34635889067435	0.43359804974468574	-151.54790420744465	0.2581388141119806	-8.976877615164085	3.9082201044900353	0.07931248290710913
1400	-383769.4823709297	-383612.3600504033	-157.1223205264036	-383612.3600504033	19.240016003529725	299.7747072252986	1.0	8.34635889067435	0.43359804974468574	-136.4496175707742	0.12023549499684182	-11.774457759830431	3.597015771255905	0.07931248290710913
1600	-378862.8867317172	-378698.17221283814	-164.71451887907264	-378698.17221283814	29.55064709518532	459.1509744276834	1.0	8.34635889067435	0.43359804974468574	-155.52990790188485	0.12023549499684182	-0.2863657813887974	5.825967777776542	0.04860262509410186
1800	-369468.9933201188	-369302.5203174634	-166.47300265540898	-369302.5203174634	27.663623128190856	461.81514481976194	1.0	8.34635889067435	0.43359804974468574	-155.686330026975	0.12023549499684182	-1.8884274326349701	6.911766439388466	0.04860262509410186
2000	-367270.17439919006	-367100.47101312305	-169.70338606699647	-367100.47101312305	25.569743341471618	444.10387731168316	1.0	8.34635889067435	0.43359804974468574	-154.118478701667	0.09369607205247044	-6.935835323025611	7.831671909810936	0.04860262509410186
2200	-359371.21652462817	-359204.453733588	-166.7627910401535	-359204.453733588	23.624157627798596	421.56980234489237	1.0	8.34635889067435	0.43359804974468574	-154.38336564679614	0.07858595252467039	-3.906055903366143	7.356514753093643	0.04860262509410186
2400	-354617.87262789474	-354442.8019814663	-175.07064642846902	-354442.8019814663	23.431408564040918	456.2348691947324	1.0	8.34635889067435	0.43359804974468574	-155.10852617204938	0.1283548503864864	-10.998585868752892	8.320861318143349	0.026929875584675484
2600	-351065.1613923446	-350916.86180824495	-148.29958409964587	-350916.86180824495	16.378955820326432	327.66433464697843	1.0	8.34635889067435	0.43359804974468574	-139.07684944741067	0.1283548503864864	-0.2592002645684411	6.129245719317341	0.03814791122659153
2800	-348653.8872083122	-348504.91813150764	-148.96907680457707	-348504.91813150764	14.684181236728303	332.54169529654604	1.0	8.34635889067435	0.43359804974468574	-139.68828029366242	0.1283548503864864	-0.317262123247898	6.213858329979417	0.03814791122659153
3000	-346989.4539472061	-346840.3969839317	-149.05696327437096	-346840.3969839317	14.582025668341691	332.7811497950229	1.0	8.34635889067435	0.43359804974468574	-139.70670273958217	0.1283548503864864	-0.3867261471220418	6.283667758546256	0.03814791122659153
3200	-345682.71258244914	-345535.46353600244	-147.24904644668078	-345535.46353600244	14.49661006723831	324.1025535821834	1.0	8.34635889067435	0.43359804974468574	-137.94568837735537	0.14369967332005323	-0.22699444083770395	6.024526395913144	0.03814791122659153
3400	-336535.887806618	-336392.5125346909	-143.37527192708856	-336392.5125346909	13.333260758650436	293.6396779467045	1.0	8.34635889067435	0.43359804974468574	-133.66757339432513	0.14369967332005323	-0.6313349042757261	5.549698128123478	0.03814791122659153
