#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.base.inference.CompoundDistribution">
#    <distribution id="prior" spec="beast.base.inference.CompoundDistribution">
#        <distribution id="CalibratedYuleModel.t:tree" spec="beast.base.evolution.speciation.CalibratedYuleModel">
#            <parameter id="birthRateY.t:tree" lower="0.0" name="birthRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:tree" spec="beast.base.evolution.tree.Tree">
#                <taxonset id="TaxonSet.RAG2_trimmed" spec="beast.base.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="CalibratedYuleBirthRatePrior.t:tree" name="distribution" x="@birthRateY.t:tree">
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="alpha" spec="beast.base.inference.parameter.RealParameter">0.001</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="beta" spec="beast.base.inference.parameter.RealParameter">1000.0</parameter>
#            </Gamma>
#        </prior>
#        <prior id="ClockPrior.c:clock" name="distribution">
#            <parameter id="clockRate.c:clock" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <Uniform id="Uniform.0" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="GammaShapePrior.s:JTT" name="distribution">
#            <parameter id="gammaShape.s:JTT" lower="0.1" name="x" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="mean" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            </Exponential>
#        </prior>
#        <distribution id="oto-prop.prior" monophyletic="true" spec="beast.base.evolution.tree.MRCAPrior" tree="@Tree.t:tree">
#            <taxonset id="oto-prop" spec="beast.base.evolution.alignment.TaxonSet">
#                <taxon id="Otolemur_garnettii" spec="beast.base.evolution.alignment.Taxon"/>
#                <taxon id="Propithecus_coquereli" spec="beast.base.evolution.alignment.Taxon"/>
#            </taxonset>
#            <Normal id="Normal.1" name="distr">
#                <parameter estimate="false" id="RealParameter.5" name="mean" spec="beast.base.inference.parameter.RealParameter">6.0</parameter>
#                <parameter estimate="false" id="RealParameter.6" name="sigma" spec="beast.base.inference.parameter.RealParameter">0.5</parameter>
#            </Normal>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.base.inference.CompoundDistribution" useThreads="true">
#        <distribution data="@RAG2_trimmed" id="treeLikelihood.RAG2_trimmed" spec="beast.base.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:tree">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:JTT" shape="@gammaShape.s:JTT" spec="beast.base.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:JTT" lower="0.0" name="mutationRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:JTT" lower="0.0" name="proportionInvariant" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="JTT.s:JTT" spec="beast.base.evolution.substitutionmodel.JTT"/>
#            </siteModel>
#            <branchRateModel clock.rate="@clockRate.c:clock" id="StrictClock.c:clock" spec="beast.base.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood.RAG2_trimmed	Tree.height	Tree.treeLength	mutationRate	gammaShape	CalibratedYuleModel	birthRateY	clockRate	logP(mrca(oto-prop))	mrca.age(oto-prop)
0	-3669.4364898888507	-3608.5888051033326	-60.84768478551793	-3608.5888051033326	1.0994097704057342	6.515314927599026	1.0	1.0	-3.4095330022372234	1.0	1.0	-49.52306514261787	1.0352606417872678
200	-2579.225865863101	-2520.915221629577	-58.31064423352383	-2520.915221629577	0.6502966047365237	2.951647648117997	1.0	0.32551085434151095	14.801793641716522	4.215168901134272	0.1579557000611906	-64.4313742389025	0.33406746923960556
400	-2525.6703615762467	-2469.6144039364535	-56.05595763979305	-2469.6144039364535	1.1014337366341367	5.542945679222712	1.0	0.32551085434151095	8.244256107484276	3.4653913392253406	0.06385451665568918	-55.815568119622704	0.7279142283637888
600	-2495.5848321426465	-2450.788049892468	-44.796782250178495	-2450.788049892468	3.7779467057051916	19.83641948747089	1.0	0.32551085434151095	-13.849579379280495	2.2428650790534292	0.017636270661526007	-22.898416163192167	2.6330559248372243
800	-2469.4311375338457	-2436.2277452080925	-33.20339232575321	-2436.2277452080925	5.404483271253065	29.634544433986488	1.0	0.43867990834445325	-19.007162293749055	1.5191102595713668	0.00772194770233719	-6.42423768961963	4.239538932981632
1000	-2437.3286603985	-2410.8448818107663	-26.483778587733276	-2410.8448818107663	6.6915706030178645	37.08915970657995	1.0	0.43867990834445325	-18.891288903475754	1.003356982786413	0.00772194770233719	-0.2353717689297908	6.06921132958217
1200	-2427.0802972556057	-2400.494505157803	-26.585792097802806	-2400.494505157803	6.392691359397692	33.63379094028914	1.0	0.43867990834445325	-18.029064000774564	0.7723161988617804	0.00772194770233719	-1.4612920993894436	5.214029025108205
1400	-2402.5673094022422	-2378.017571695944	-24.54973770629839	-2378.017571695944	5.860872340713332	32.86258881099975	1.0	0.43867990834445325	-17.163632406143513	0.655655906474822	0.00772194770233719	-0.4543801365469283	5.661925463912024
1600	-2406.166338225024	-2379.9100036056916	-26.256334619332566	-2379.9100036056916	6.357108969638821	35.88704055257599	1.0	0.43867990834445325	-18.923573991360122	0.6732443711926029	0.00772194770233719	-0.3745720956610483	5.727254016513239
1800	-2404.349036415878	-2379.3734041403186	-24.97563227555947	-2379.3734041403186	5.150106906933853	30.244789342075244	1.0	0.43867990834445325	-15.323888134343928	1.2382979232543239	0.00772194770233719	-2.0842152379357732	5.036043599198842
2000	-2405.5565245808266	-2380.658326130527	-24.898198450299986	-2380.658326130527	5.9750281549314295	34.09853584820806	1.0	0.27714137244431525	-17.219487404887598	0.964970048509462	0.006168761739790319	-0.5221406199796519	5.6150654163790135
2200	-2414.7747502675797	-2382.1351629206356	-32.639587346943955	-2382.1351629206356	8.188215816416205	40.0048347164658	1.0	0.27714137244431525	-24.051897907219477	0.964970048509462	0.006168761739790319	-1.4311190142917423	5.2236857396495235
2400	-2417.820625496286	-2377.001669685082	-40.81895581120378	-2377.001669685082	7.400951025294463	37.1779350934709	1.0	0.27714137244431525	-25.0165418305901	0.964970048509462	0.006168761739790319	-8.645843555180948	3.948165186651686
2600	-2407.1494658196384	-2370.866728969713	-36.28273684992507	-2370.866728969713	6.817704831986834	35.59035634130569	1.0	0.27714137244431525	-22.144331860073336	0.6015323724607416	0.006168761739790319	-7.45434209490993	4.098875235253456
2800	-2408.823922194779	-2374.5266542327663	-34.29726796201238	-2374.5266542327663	6.707208440460095	40.798397340662916	1.0	0.27714137244431525	-24.39227879614846	0.4981356711441975	0.006168761739790319	-3.4094489413224602	4.738323022981371
3000	-2404.320327256432	-2369.2373003549596	-35.08302690147216	-2369.2373003549596	9.246097227139487	45.33186733600828	1.0	0.27714137244431525	-26.308009146853504	0.4879686839478532	0.006168761739790319	-2.300088316206259	4.981595128752437
3200	-2401.9600720909875	-2367.2525653110392	-34.707506779948254	-2367.2525653110392	7.744733690580841	42.685501476844244	1.0	0.27714137244431525	-25.245818150910242	0.4879686839478532	0.006168761739790319	-2.9867591906256115	4.825060036005906
3400	-2403.6507108728915	-2369.0829453697124	-34.56776550317895	-2369.0829453697124	8.00863992053308	43.18477180112462	1.0	0.27714137244431525	-25.60802983843495	0.7439637837743186	0.006168761739790319	-2.0632308479865524	5.041501305336876
3600	-2404.7225239463874	-2366.36032449294	-38.36219945344752	-2366.36032449294	12.275079908404487	60.4351990071143	1.0	0.4305226270222328	-31.56392200913021	0.43606674440866317	0.003256572004635071	-0.28236211376707	6.168182581027796
3800	-2405.783547052093	-2367.042604913011	-38.74094213908231	-2367.042604913011	10.615186481151099	60.52717172490274	1.0	0.4305226270222328	-31.965422622587138	0.39915061385497647	0.003256572004635071	-0.34800913672727934	5.752797872093956
4000	-2409.116139716531	-2367.235067832045	-41.8810718844861	-2367.235067832045	14.062353433063992	69.81769369747964	1.0	0.4305226270222328	-35.16413902143975	0.39915061385497647	0.003256572004635071	-0.2894224832784543	6.178369182643369
4200	-2406.818290806586	-2364.4564098854753	-42.36188092111073	-2364.4564098854753	13.39073799285213	69.2589617315658	1.0	0.4305226270222328	-33.61981199533137	0.31112014734189897	0.003256572004635071	-2.5635570773807306	7.081148862260883
4400	-2414.167888445437	-2372.6032100444263	-41.564678401010426	-2372.6032100444263	13.728461282772146	67.16923974755179	1.0	0.4305226270222328	-34.71133810107444	0.4546464720780975	0.003256572004635071	-0.29572329711613854	6.186991904198298
4600	-2408.1058573453997	-2368.3771625239074	-39.728694821492375	-2368.3771625239074	12.01556163497118	64.92336884358922	1.0	0.4305226270222328	-32.98254397279737	0.3760386390550859	0.003256572004635071	-0.3782508564211162	6.2760973594372
4800	-2410.9628476638504	-2372.292554669861	-38.670292993989406	-2372.292554669861	9.738244993935512	61.18553957296824	1.0	0.4305226270222328	-31.100226038610206	0.3760386390550859	0.003256572004635071	-1.2021669631053147	6.698704376135067
5000	-2410.430753636562	-2371.7262037847577	-38.70454985180424	-2371.7262037847577	10.133359295821146	62.06833006723742	1.0	0.4305226270222328	-31.724716528397792	0.3760386390550859	0.0033981323743602844	-0.6119333311325635	6.43939844019286
5200	-2410.4238124307803	-2368.205758995393	-42.218053435387496	-2368.205758995393	12.67594217831803	67.16352830965118	1.0	0.4305226270222328	-33.71574551494084	0.24710764149994752	0.0033981323743602844	-2.5539848556174545	7.0789331543178955
5400	-2408.7754036291235	-2368.781890102486	-39.99351352663722	-2368.781890102486	12.303080247244619	62.259025082818525	1.0	0.4305226270222328	-31.69306665021481	0.29684120024513483	0.0033981323743602844	-2.168884172055321	6.985670538113673
