#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.base.inference.CompoundDistribution">
#    <distribution id="prior" spec="beast.base.inference.CompoundDistribution">
#        <distribution id="CalibratedYuleModel.t:tree" spec="beast.base.evolution.speciation.CalibratedYuleModel">
#            <parameter id="birthRateY.t:tree" lower="0.0" name="birthRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:tree" spec="beast.base.evolution.tree.Tree">
#                <taxonset id="TaxonSet.MC1R_protein_trimmed" spec="beast.base.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="CalibratedYuleBirthRatePrior.t:tree" name="distribution" x="@birthRateY.t:tree">
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="alpha" spec="beast.base.inference.parameter.RealParameter">0.001</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="beta" spec="beast.base.inference.parameter.RealParameter">1000.0</parameter>
#            </Gamma>
#        </prior>
#        <prior id="ClockPrior.c:clock" name="distribution">
#            <parameter id="clockRate.c:clock" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <Uniform id="Uniform.0" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="GammaShapePrior.s:JTT" name="distribution">
#            <parameter id="gammaShape.s:JTT" lower="0.1" name="x" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="mean" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            </Exponential>
#        </prior>
#        <distribution id="Nyc-homo.prior" monophyletic="true" spec="beast.base.evolution.tree.MRCAPrior" tree="@Tree.t:tree">
#            <taxonset id="Nyc-homo" spec="beast.base.evolution.alignment.TaxonSet">
#                <taxon id="Nycticebus_coucang" spec="beast.base.evolution.alignment.Taxon"/>
#                <taxon id="Homo_sapiens" spec="beast.base.evolution.alignment.Taxon"/>
#            </taxonset>
#            <Normal id="Normal.0" name="distr">
#                <parameter estimate="false" id="RealParameter.3" name="mean" spec="beast.base.inference.parameter.RealParameter">6.0</parameter>
#                <parameter estimate="false" id="RealParameter.4" name="sigma" spec="beast.base.inference.parameter.RealParameter">0.5</parameter>
#            </Normal>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.base.inference.CompoundDistribution" useThreads="true">
#        <distribution data="@MC1R_protein_trimmed" id="treeLikelihood.MC1R_protein_trimmed" spec="beast.base.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:tree">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:JTT" shape="@gammaShape.s:JTT" spec="beast.base.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:JTT" lower="0.0" name="mutationRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:JTT" lower="0.0" name="proportionInvariant" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="JTT.s:JTT" spec="beast.base.evolution.substitutionmodel.JTT"/>
#            </siteModel>
#            <branchRateModel clock.rate="@clockRate.c:clock" id="StrictClock.c:clock" spec="beast.base.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood.MC1R_protein_trimmed	Tree.height	Tree.treeLength	mutationRate	gammaShape	CalibratedYuleModel	birthRateY	logP(mrca(Nyc-homo))	mrca.age(Nyc-homo)	clockRate
0	-2483.656244377311	-2411.0377788951146	-72.61846548219647	-2411.0377788951146	2.0731482389379687	8.340072396620643	1.0	1.0	-6.493368783822778	1.0	-58.21001005771085	0.6155678709326217	1.0
200	-1885.5228291111014	-1816.2986286839598	-69.2242004271415	-1816.2986286839598	0.34646140533436165	1.7786271905235265	1.0	0.5937042713444479	6.974909928301372	4.577671501885767	-67.16707249925454	0.2146183727168953	0.3616892914598843
400	-1847.8640080656112	-1779.4968596862134	-68.3671483793977	-1779.4968596862134	0.3771837863292041	1.828279472351042	1.0	0.5937042713444479	6.705364074708943	3.8530496082400045	-66.21335241664627	0.2559787141758635	0.3616892914598843
600	-1817.03684696629	-1750.026440005246	-67.01040696104403	-1750.026440005246	1.1495293763997916	5.963893071174929	1.0	0.5937042713444479	-4.38374330314951	5.010957822545147	-53.503846336175116	0.8386990504558648	0.07785987430493792
800	-1777.2207042354269	-1747.522765016514	-29.69793921891285	-1747.522765016514	8.015136987304155	46.457031040307434	1.0	0.25899183416608756	-22.017212751636556	0.7254004870232974	-0.8276329413273064	6.54856247988838	0.007666144823465089
1000	-1754.7446052101734	-1731.3787120199427	-23.365893190230743	-1731.3787120199427	6.557877297950336	37.46830019368461	1.0	0.25899183416608756	-16.17456573542187	0.7254004870232974	-0.3382339288598848	6.237110286802531	0.012409109714589164
1200	-1750.11985409039	-1727.2375525794228	-22.88230151096729	-1727.2375525794228	6.932974594287164	39.488205151417304	1.0	0.39939017527495635	-15.33049233310257	0.4854235510324123	-0.959857672960281	6.605832617277889	0.011310055008058177
1400	-1750.623855579697	-1727.7379845981766	-22.885870981520384	-1727.7379845981766	7.247634398709065	41.111591186832584	1.0	0.39939017527495635	-16.400234372070237	0.34321889093781294	-0.2401340571101322	6.0846838369035225	0.011310055008058177
1600	-1749.732546392343	-1727.3559425329447	-22.376603859398333	-1727.3559425329447	6.894805189748652	39.77580789967389	1.0	0.39939017527495635	-15.906994402943095	0.3216107677858003	-0.2890898768061565	6.177902394814445	0.011310055008058177
1800	-1752.0558031847586	-1726.4605821976133	-25.595220987145296	-1726.4605821976133	7.247513761286112	39.67901336180885	1.0	0.39939017527495635	-17.494780806452823	0.16361114578063596	-2.595252219770627	7.088453229846349	0.011310055008058177
2000	-1754.066586001234	-1730.9202651088399	-23.146320892394176	-1730.9202651088399	7.125221957460351	39.45094218307451	1.0	0.39939017527495635	-15.360441956605847	0.29182734863617454	-1.7024716229564025	6.859267208239578	0.011310055008058177
2200	-1749.7153070143852	-1727.5504115112735	-22.16489550311168	-1727.5504115112735	6.221520296636581	34.22706732486038	1.0	0.39939017527495635	-14.793606698843716	0.8343803083435583	-0.23786251740054093	6.077689010663715	0.011310055008058177
2400	-1746.208039128581	-1723.723734188451	-22.48430494012992	-1723.723734188451	6.6584187125284835	38.43570152644137	1.0	0.8094018800212951	-15.376404267499034	0.3006434927380972	-0.5847398040368283	6.423643984609779	0.011310055008058177
2600	-1745.4026161654208	-1721.848252179099	-23.554363986321633	-1721.848252179099	7.172581413463819	41.16360649786268	1.0	0.8094018800212951	-15.831586134616177	0.35351074031894203	-1.0377373901791827	6.637160120195252	0.011310055008058177
2800	-1745.7501215408863	-1723.5834350286468	-22.166686512239426	-1723.5834350286468	6.409791902517653	36.80144393845019	1.0	0.8094018800212951	-15.457761567820471	0.28568147398176674	-0.23677568059861112	5.925890864416444	0.011310055008058177
