#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.base.inference.CompoundDistribution">
#    <distribution id="prior" spec="beast.base.inference.CompoundDistribution">
#        <distribution id="CalibratedYuleModel.t:tree" spec="beast.base.evolution.speciation.CalibratedYuleModel">
#            <parameter id="birthRateY.t:tree" lower="0.0" name="birthRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:tree" spec="beast.base.evolution.tree.Tree">
#                <taxonset id="TaxonSet.RAG2" spec="beast.base.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="CalibratedYuleBirthRatePrior.t:tree" name="distribution" x="@birthRateY.t:tree">
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.5" name="alpha" spec="beast.base.inference.parameter.RealParameter">0.001</parameter>
#                <parameter estimate="false" id="RealParameter.6" name="beta" spec="beast.base.inference.parameter.RealParameter">1000.0</parameter>
#            </Gamma>
#        </prior>
#        <prior id="ClockPrior.c:clock" name="distribution">
#            <parameter id="clockRate.c:clock" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <Uniform id="Uniform.0" name="distr" upper="Infinity"/>
#        </prior>
#        <distribution id="Human-Carl.prior" monophyletic="true" spec="beast.base.evolution.tree.MRCAPrior" tree="@Tree.t:tree">
#            <taxonset id="Human-Carl" spec="beast.base.evolution.alignment.TaxonSet">
#                <taxon id="Carlito_syrichta" spec="beast.base.evolution.alignment.Taxon"/>
#                <taxon id="Homo_sapiens" spec="beast.base.evolution.alignment.Taxon"/>
#            </taxonset>
#            <Normal id="Normal.0" name="distr">
#                <parameter estimate="false" id="RealParameter.3" name="mean" spec="beast.base.inference.parameter.RealParameter">6.0</parameter>
#                <parameter estimate="false" id="RealParameter.4" name="sigma" spec="beast.base.inference.parameter.RealParameter">0.5</parameter>
#            </Normal>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.base.inference.CompoundDistribution" useThreads="true">
#        <distribution data="@RAG2" id="treeLikelihood.RAG2" spec="beast.base.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:tree">
#            <siteModel id="SiteModel.s:JTT" spec="beast.base.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:JTT" lower="0.0" name="mutationRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:JTT" lower="0.1" name="shape" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:JTT" lower="0.0" name="proportionInvariant" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="JTT.s:JTT" spec="beast.base.evolution.substitutionmodel.JTT"/>
#            </siteModel>
#            <branchRateModel clock.rate="@clockRate.c:clock" id="StrictClock.c:clock" spec="beast.base.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood.RAG2	Tree.height	Tree.treeLength	mutationRate	CalibratedYuleModel	birthRateY	logP(mrca(Human-Carl))	mrca.age(Human-Carl)	clockRate
0	-6200.011509092324	-6142.74884711219	-57.26266198013373	-6142.74884711219	2.310488840529041	9.521117623365008	1.0	-5.6651866312585435	1.0	-44.68238870821235	1.285310330702156	1.0
200	-2772.6868787585536	-2726.5459831001267	-46.14089565842708	-2726.5459831001267	1.1126261670823592	4.435126597978604	1.0	11.557035163183397	5.226480646540168	-49.12653330340077	1.0552683616420575	0.2714757591727885
400	-2380.9757346665697	-2326.95149736524	-54.02423730132997	-2326.95149736524	1.0082868319970604	4.913663351060542	1.0	6.69600144748934	5.226480646540168	-52.148841230609605	0.9047546733270597	0.03452440124733644
600	-2314.417755296241	-2292.7616160797015	-21.656139216539444	-2292.7616160797015	7.568173031437106	33.502007460466864	1.0	-13.438626515465238	1.0386917068545949	-1.264463383590292	6.720649717597102	0.006022615384648542
800	-2305.249179865758	-2279.780035859964	-25.469144005794277	-2279.780035859964	7.429005258130313	37.03192328675383	1.0	-18.136572521407274	0.6212201776344575	-0.8934572603712357	5.4222172087512	0.006022615384648542
1000	-2306.590348005223	-2282.1851055805037	-24.405242424719507	-2282.1851055805037	7.112313475274991	37.01712205193068	1.0	-18.149260731827823	0.3763164427242991	-0.3178662974508806	5.785436553898208	0.006022615384648542
1200	-2302.150292943036	-2278.490877508655	-23.6594154343809	-2278.490877508655	7.281359465775973	36.83145925703985	1.0	-16.945785699500533	0.65178936901875	-0.22649709392639306	6.018784851365737	0.006022615384648542
1400	-2305.7264991519987	-2281.916686194581	-23.809812957417574	-2281.916686194581	6.570354621732622	36.35728681248688	1.0	-17.646708626658857	0.3661578981123055	-0.2523374645811006	6.115208749529654	0.006022615384648542
1600	-2296.4870807714715	-2272.314499346074	-24.172581425397297	-2272.314499346074	6.500996849092553	35.610543083563556	1.0	-18.165152776332434	0.31422084497608244	-0.2495293406884762	6.108944912785657	0.006022615384648542
1800	-2292.0102933526896	-2267.0723585262076	-24.93793482648177	-2267.0723585262076	6.9526450699713225	35.39516108406783	1.0	-18.991555853197607	0.2818955467224801	-0.296962896749261	5.811358085112913	0.006022615384648542
2000	-2288.5243235487733	-2262.515852149995	-26.008471398778145	-2262.515852149995	7.90901644950901	36.13113547263404	1.0	-17.976794250166016	0.5724216697103505	-1.6743395812864938	5.148957043198827	0.006022615384648542
2200	-2290.738857822476	-2266.487486071111	-24.251371751364836	-2266.487486071111	7.90758421209234	37.5877353529986	1.0	-17.618886730702485	0.5724216697103505	-0.27514745333671276	5.84290751021773	0.006022615384648542
2400	-2292.366451091347	-2266.6851993361634	-25.6812517551835	-2266.6851993361634	8.863816690308346	40.92325937116536	1.0	-19.30375119139434	0.4459748982790878	-0.2696530660490246	5.851909295692982	0.006022615384648542
2600	-2291.55565128033	-2267.8974903720755	-23.658160908254423	-2267.8974903720755	6.438823896004856	35.73730472018341	1.0	-16.66878497268503	0.8495548083049321	-0.23731951891728498	6.075921559100685	0.006022615384648542
2800	-2289.745402535816	-2266.1813166715665	-23.56408586424978	-2266.1813166715665	6.181611179353461	35.78535737965066	1.0	-17.018359891296395	0.47603875204767204	-0.3726770537219246	5.7289965857436504	0.006022615384648542
3000	-2290.8880546938835	-2264.905161725709	-25.982892968174436	-2264.905161725709	7.563938732324125	38.26370620310356	1.0	-19.00069229309914	0.8529770789771708	-0.22612463765219534	6.012909008627078	0.006022615384648542
3200	-2291.9257129822645	-2268.280833727246	-23.644879255018814	-2268.280833727246	5.318470218333305	30.34976753612805	1.0	-14.80909916473821	0.887511812297831	-2.0400200524471606	5.047574491153656	0.006022615384648542
3400	-2293.690586417164	-2268.4911110370035	-25.1994753801606	-2268.4911110370035	5.8390446028506915	28.27057827746247	1.0	-14.129690281688232	0.760243673190222	-4.428780372333364	4.550346762206797	0.006022615384648542
3600	-2290.388397265369	-2267.422341251487	-22.966056013881968	-2267.422341251487	6.608203722452019	31.257356118897434	1.0	-15.162917143275818	0.5527486740810442	-1.480758487426575	5.20786139635104	0.006022615384648542
